id,comment_text,insult
402f4c3021eefa7b,"""

 Wikipedia:WikiProject Council/Proposals 

I'm back! And I've started to create subpages for January so far. OnHoliday""",0
0a1ff1c729332a51,because I'm following guidelines,0
2c6b162ebc5f59d5,"""

 Where are you? 

Where have you been? '''8235''' """,0
10f13d2d8eff9df2,"FYI: Article has been split, bundle info has been left here and program info went to the original name Nero Burning ROM.",0
c360687c85cfe75e,"Split is complete, all the information in this article is now in the Diet of Hungary. This article may be deleted/redirected.",0
36860ec206264e18,"Hey , again, please stop copy-pasting from articles like you did here. I know you're editing from your IP address, but it's clearly you.",0
659849325aa0e5b2,"""
 But then """"other highlights"""" is incorrect. But it doesn't seem to make sense to remove it...  """,0
76164c3be097b5b5,"""

 Bot problems 

Hi, your bot is tagging images of mine as having no copyright holder, when I've added the name of the copyright holder to the page. See here.  talk|contribs """,0
fb04f1752c5b6090,"I see no problem archiving the discussion, it just shouldn't be completely removed.",0
127f2ba2ecf1bc24,"Also, here's another example of legitimate Holocaust revisionism - because it's a neutral word (but the denial should be called denial, and btw it's neutral by itself as well).",0
1338032d5ff1e4b3,"Cubits, hogsheads, rods, chains, etc? 

Since we've got to have Imperial as well as Metric, maybe we should be adding all the above (and more)?  Jimbo must be off his nut...",0
4cbe465f855d07ce,""":::::: """"You don't know me. How do you know what I am/am not?""""
 By your actions.  
 Anyway, I already appologized to you.  I don't care about the block, that's not why I appologized. -  

""",0
a87865a29675ddd1,"Too long for GA?
If you must prune, I am unsure how much the 1880 protest poster or the time line add to the article.",0
d5aa8c932f4a3b6d,"Reply 

YOU CAN'T FUCKIN BLOCK ME!

KISS MY ROYAL THAI ASS.

122.106.14.163",1
77a88051ec5f21e3,I have deleted the reference to a dictionary of modern Greek. Dictionaries give the meanings of words. They are not a source for the origins of peoples.,0
9477f8ab2e134070,accept = We are sincerely sorry for your experience.,0
a1c163183f455d48,"peter foster 

to remove something from a talk page is just a tad too much, please explain?",0
d44339152282dff7,Friendly joke with my father?,0
dad997f2f4d07792,"prefer lowercase 
where did he die?  (Talk)",0
aced096e33bb1905,"Bombing of the abbey
I am reasonably convinced that this was caused by the propaganda conveyed by American and other newscasters. An actual clip is supplied.",0
0c057ae5500bd9ba,Hi could you please use the link I had as a reference cus im not sure if I know how to. Thank you then here.,0
da17ac453227f361,REDIRECT Talk:Jarosław of Bogoria and Skotnik,0
a7e0c5a4e2e0ed98,"OK please talk to me 

please talk to me i want to show you shane duffy is a real player",0
e74e05c71823bf85,Dubious map was removed.,0
9640b69aa0274a92,"There are articles of girl that are no famous enough, like some manyu winners, runner ups or contestants.",0
d031704e5572ac3e,"Please stop. If you continue to create malicious redirects, you will be blocked from editing.  /Talk/Contribs",0
